,Location,Period,Gender,Life_Expectancy,Healthy_Life_Expectancy,%Mrt30_70_crdo_cncr_dbts_rsprtry,Suicide100000,Ttl_alc_percapita_15+,Posioning100000,Smoking15+
189,Cambodia,2015,Both sexes,69.17,60.75,21.3,5.3,6.37,0.65,24.8
192,Cambodia,2010,Both sexes,67.22,59.01,22.2,5.4,4.91,0.82,30.6
195,Cambodia,2000,Both sexes,58.68,51.39,25.5,5.6,1.87,1.48,44.4
198,Cameroon,2015,Both sexes,59.11,51.78,21.8,12.3,6.17,3.25,9.4
201,Cameroon,2010,Both sexes,56.58,49.57,21.8,11.7,8.43,3.39,9.6
204,Cameroon,2000,Both sexes,52.82,46.05,24.5,13.3,6.69,3.86,10.2
207,Canada,2015,Both sexes,81.76,71.15,10.0,12.5,8.88,0.31,20.0
210,Canada,2010,Both sexes,81.31,70.84,11.1,13.0,10.1,0.33,24.7
213,Chad,2015,Both sexes,57.91,50.53,24.1,8.9,1.45,3.67,12.2
216,Chad,2010,Both sexes,55.65,48.55,24.5,8.7,6.58,3.71,13.0
219,Chad,2000,Both sexes,51.08,44.7,24.3,8.0,4.34,3.89,15.4
222,Chile,2015,Both sexes,79.82,69.44,12.5,10.9,9.26,0.21,45.9
225,Chile,2010,Both sexes,78.46,68.46,13.3,12.2,9.31,0.23,48.3
228,Chile,2000,Both sexes,76.77,67.0,14.6,10.9,7.74,0.31,53.4
231,China,2015,Both sexes,76.64,68.01,17.4,9.6,7.15,1.38,25.3
234,China,2010,Both sexes,74.89,66.68,18.1,10.9,7.07,1.34,26.6
237,China,2000,Both sexes,71.58,63.71,21.5,13.2,3.81,1.49,29.2
240,Colombia,2015,Both sexes,78.35,68.29,15.9,8.3,5.78,0.36,8.9
243,Colombia,2010,Both sexes,77.09,67.15,17.3,7.2,5.04,0.34,11.0
246,Colombia,2000,Both sexes,73.75,64.14,20.6,7.6,5.58,0.37,16.8
249,Comoros,2015,Both sexes,66.45,58.19,23.0,6.8,0.88,2.43,21.8
252,Comoros,2010,Both sexes,64.98,56.97,23.5,6.6,0.25,2.54,26.6
255,Comoros,2000,Both sexes,61.51,53.77,25.9,5.1,0.19,3.24,43.7
258,Congo,2015,Both sexes,63.11,54.9,17.0,6.1,7.9,1.3,15.0
261,Congo,2010,Both sexes,60.95,53.03,19.0,7.4,6.17,1.59,13.5
264,Congo,2000,Both sexes,52.12,45.35,24.8,10.0,3.45,2.44,11.2
267,Costa Rica,2015,Both sexes,80.78,70.04,11.6,7.9,4.76,0.29,10.8
270,Costa Rica,2010,Both sexes,79.56,69.19,13.0,8.6,4.8,0.35,12.8
273,Costa Rica,2000,Both sexes,78.0,68.04,14.2,7.3,5.55,0.33,18.2
276,Côte d’Ivoire,2015,Both sexes,60.2,52.52,29.3,14.4,2.61,4.01,13.8
279,Côte d’Ivoire,2010,Both sexes,56.62,49.46,28.6,12.7,2.53,3.86,15.6
282,Côte d’Ivoire,2000,Both sexes,50.33,43.96,26.2,9.5,7.25,3.22,20.4
285,Croatia,2015,Both sexes,77.58,67.9,17.2,17.8,9.07,0.19,36.3
288,Croatia,2010,Both sexes,76.72,67.31,18.8,18.6,10.08,0.19,35.6
291,Croatia,2000,Both sexes,74.36,65.43,22.9,21.3,12.45,0.28,34.9
294,Cuba,2015,Both sexes,77.91,68.05,16.6,13.7,5.67,0.32,29.4
297,Cuba,2010,Both sexes,77.65,67.95,17.6,14.4,5.02,0.32,34.4
300,Cuba,2000,Both sexes,76.76,67.12,18.1,17.4,4.98,0.35,47.5
303,Cyprus,2015,Both sexes,82.01,71.63,11.5,4.9,10.76,0.1,37.5
306,Cyprus,2010,Both sexes,81.02,70.79,11.8,5.7,11.35,0.13,38.8
309,Cyprus,2000,Both sexes,78.75,69.13,14.1,2.2,10.86,0.2,42.5
312,Czechia,2015,Both sexes,78.46,68.29,15.5,13.7,14.25,0.3,32.1
315,Czechia,2010,Both sexes,77.56,67.74,17.7,15.4,14.06,0.35,32.9
318,Czechia,2000,Both sexes,74.95,65.94,22.6,17.0,15.0,0.45,34.8
321,Democratic People's Republic of Korea,2015,Both sexes,71.76,64.3,25.8,11.4,3.82,1.94,19.2
324,Democratic People's Republic of Korea,2010,Both sexes,70.18,62.98,27.3,11.9,3.78,2.3,19.8
327,Democratic People's Republic of Korea,2000,Both sexes,63.95,57.75,23.6,10.0,3.52,2.14,21.7
330,Denmark,2015,Both sexes,80.59,70.53,11.7,11.9,10.36,0.16,20.8
333,Denmark,2010,Both sexes,79.17,69.42,13.4,12.7,11.0,0.21,25.3
336,Denmark,2000,Both sexes,76.93,67.57,18.3,16.0,12.67,0.3,37.6
339,Dominican Republic,2015,Both sexes,71.75,63.21,19.1,9.7,6.61,0.38,10.5
342,Dominican Republic,2010,Both sexes,73.17,64.38,19.6,8.0,6.11,0.39,12.6
345,Dominican Republic,2000,Both sexes,73.22,64.1,21.9,9.1,7.19,0.58,18.9
348,Egypt,2015,Both sexes,70.49,62.0,28.2,3.8,0.4,0.22,21.3
351,Egypt,2010,Both sexes,70.2,61.69,28.0,3.6,0.36,0.24,21.2
354,Egypt,2000,Both sexes,69.82,61.21,25.3,3.3,0.25,0.29,21.5
357,El Salvador,2015,Both sexes,73.25,63.46,14.1,14.0,3.59,0.23,13.6
360,El Salvador,2010,Both sexes,74.5,64.4,14.7,10.8,3.31,0.22,15.1
363,El Salvador,2000,Both sexes,72.5,62.73,17.1,13.4,3.86,0.45,19.1
366,Eritrea,2015,Both sexes,62.29,54.1,24.2,8.1,1.42,4.39,7.9
369,Eritrea,2010,Both sexes,60.7,52.65,24.8,9.0,1.38,5.17,9.2
372,Eritrea,2000,Both sexes,54.51,47.01,25.7,11.6,1.57,5.78,12.8
375,Estonia,2015,Both sexes,77.6,68.26,16.9,15.8,12.39,0.49,32.1
378,Estonia,2010,Both sexes,75.87,66.88,19.6,18.3,12.39,0.62,34.7
381,Estonia,2000,Both sexes,70.94,62.56,26.9,29.5,9.57,1.86,41.1
384,Eswatini,2015,Both sexes,54.05,46.91,26.6,13.1,9.84,3.35,10.8
387,Eswatini,2010,Both sexes,47.43,41.38,26.6,11.9,6.82,3.32,11.1
390,Eswatini,2000,Both sexes,47.05,41.28,27.2,11.6,7.46,2.8,12.3
393,Ethiopia,2015,Both sexes,66.82,58.32,18.4,7.2,2.19,2.97,4.9
396,Ethiopia,2010,Both sexes,62.92,54.96,18.9,7.3,2.5,3.41,5.5
399,Ethiopia,2000,Both sexes,50.58,44.33,21.7,8.0,1.76,5.07,6.8
402,Fiji,2015,Both sexes,67.83,59.58,30.8,5.0,3.33,0.45,27.4
405,Fiji,2010,Both sexes,67.6,59.49,32.9,4.8,3.0,0.5,29.0
408,Fiji,2000,Both sexes,65.9,58.09,36.4,4.3,3.24,0.61,32.7
411,Finland,2015,Both sexes,81.21,70.73,10.5,14.4,11.18,0.23,20.9
414,Finland,2010,Both sexes,79.88,69.55,11.8,18.9,12.59,0.28,23.4
417,Finland,2000,Both sexes,77.6,67.78,14.6,24.6,11.69,0.45,29.1
420,France,2015,Both sexes,81.91,71.7,10.8,18.0,12.64,0.47,34.5
423,France,2010,Both sexes,81.22,71.16,11.8,20.2,12.4,0.51,34.5
426,France,2000,Both sexes,78.91,69.3,13.8,22.3,14.08,0.62,34.6
429,Gambia,2015,Both sexes,64.14,55.83,20.6,5.2,3.67,1.96,15.3
432,Gambia,2010,Both sexes,62.42,54.39,21.1,5.1,3.81,2.17,17.1
435,Gambia,2000,Both sexes,59.24,51.66,23.1,6.6,4.14,3.04,21.7
438,Georgia,2015,Both sexes,72.58,64.2,24.9,8.1,9.61,0.81,30.4
441,Georgia,2010,Both sexes,71.87,63.71,25.0,6.9,9.67,0.82,31.6
444,Georgia,2000,Both sexes,69.41,61.94,24.7,6.0,4.41,0.86,34.4
447,Germany,2015,Both sexes,80.42,70.07,12.5,13.8,13.06,0.14,28.9
450,Germany,2010,Both sexes,80.17,69.96,13.1,13.7,12.64,0.15,30.3
453,Germany,2000,Both sexes,78.09,68.46,16.1,14.7,14.16,0.17,33.6
456,Ghana,2015,Both sexes,64.55,56.49,20.9,5.3,3.12,1.65,4.0
459,Ghana,2010,Both sexes,62.0,54.33,20.4,4.7,4.26,1.51,4.7
462,Ghana,2000,Both sexes,59.24,51.9,21.6,4.0,5.3,1.54,6.5
465,Greece,2015,Both sexes,80.38,70.43,12.3,4.8,10.49,0.24,40.6
468,Greece,2010,Both sexes,80.1,70.04,12.9,3.3,9.67,0.28,43.4
471,Greece,2000,Both sexes,78.17,68.63,14.9,3.4,10.18,0.37,50.2
474,Guyana,2015,Both sexes,65.59,57.17,30.6,29.1,7.35,0.72,13.8
477,Guyana,2010,Both sexes,64.77,56.58,31.2,26.8,6.78,0.69,17.1
480,Guyana,2000,Both sexes,62.96,54.97,32.7,23.4,8.98,0.91,26.9
483,Haiti,2015,Both sexes,62.61,54.59,26.7,11.7,2.69,2.69,8.8
486,Haiti,2010,Both sexes,31.28,27.98,22.3,10.2,2.99,2.9,9.7
489,Haiti,2000,Both sexes,57.05,50.0,29.1,8.7,3.97,3.56,12.4
492,Hungary,2015,Both sexes,75.57,66.6,23.3,20.3,11.6,0.29,31.9
495,Hungary,2010,Both sexes,74.58,65.77,24.2,26.0,12.09,0.31,34.2
498,Hungary,2000,Both sexes,71.34,63.03,28.1,32.5,14.27,0.38,40.0
501,Iceland,2015,Both sexes,82.14,71.9,9.3,14.0,8.74,0.21,15.7
504,Iceland,2010,Both sexes,81.68,71.43,9.8,13.3,7.5,0.23,19.4
507,Iceland,2000,Both sexes,79.7,69.82,13.4,16.2,7.03,0.33,30.3
510,India,2015,Both sexes,69.31,59.14,23.5,16.5,5.54,2.45,29.6
513,India,2010,Both sexes,67.23,57.32,24.2,16.5,4.35,3.0,34.8
516,India,2000,Both sexes,62.11,52.95,26.6,17.4,2.28,5.18,48.9
519,Indonesia,2015,Both sexes,70.61,62.33,26.5,3.4,0.6,0.41,38.2
522,Indonesia,2010,Both sexes,69.26,61.21,27.0,3.6,0.59,0.48,38.8
525,Indonesia,2000,Both sexes,67.17,59.03,26.3,3.9,0.5,0.56,41.8
528,Iran (Islamic Republic of),2015,Both sexes,76.66,65.66,15.1,4.0,1.01,1.2,15.1
531,Iran (Islamic Republic of),2010,Both sexes,75.86,65.02,18.0,6.6,1.01,2.1,16.8
534,Iran (Islamic Republic of),2000,Both sexes,72.56,62.56,23.9,10.7,0.21,4.22,21.4
537,Iraq,2015,Both sexes,70.29,60.8,21.6,3.1,0.37,0.52,22.9
540,Iraq,2010,Both sexes,70.24,60.88,22.5,2.8,0.49,0.54,24.2
543,Iraq,2000,Both sexes,68.77,59.52,24.2,2.7,0.45,0.76,28.0
546,Ireland,2015,Both sexes,81.14,70.66,10.5,11.5,12.47,0.21,25.3
549,Ireland,2010,Both sexes,80.41,70.06,11.2,12.0,12.07,0.24,28.2
552,Ireland,2000,Both sexes,76.41,67.08,17.9,12.4,15.13,0.46,35.5
555,Israel,2015,Both sexes,81.93,71.84,9.7,5.0,3.86,0.16,26.2
558,Israel,2010,Both sexes,81.56,71.42,10.1,7.3,3.12,0.16,27.8
561,Israel,2000,Both sexes,78.57,69.21,14.6,7.5,3.08,0.21,31.3
564,Italy,2015,Both sexes,82.21,71.56,9.8,8.0,7.59,0.27,23.8
567,Italy,2010,Both sexes,81.9,71.14,10.3,7.5,7.34,0.27,24.7
570,Italy,2000,Both sexes,79.36,69.04,13.5,7.8,10.37,0.53,26.4
573,Jamaica,2015,Both sexes,75.85,66.59,14.8,2.1,4.19,0.21,12.0
576,Jamaica,2010,Both sexes,75.77,66.56,15.3,2.0,4.38,0.21,14.0
579,Jamaica,2000,Both sexes,74.22,65.4,18.1,2.3,4.91,0.31,19.3
582,Japan,2015,Both sexes,83.62,73.62,8.6,19.4,7.87,0.41,23.4
585,Japan,2010,Both sexes,82.68,72.97,9.5,24.4,7.2,0.46,26.4
588,Japan,2000,Both sexes,81.12,71.58,11.4,24.7,8.23,0.41,33.3
591,Kazakhstan,2015,Both sexes,71.91,63.35,28.6,24.9,4.66,2.56,25.7
594,Kazakhstan,2010,Both sexes,68.43,60.45,32.9,32.7,4.97,3.1,27.9
597,Kazakhstan,2000,Both sexes,63.15,56.1,39.1,34.0,8.18,16.1,33.2
600,Kenya,2015,Both sexes,64.17,56.08,13.3,3.1,2.77,1.82,12.7
603,Kenya,2010,Both sexes,61.18,53.53,13.4,3.1,3.29,2.21,14.4
606,Kenya,2000,Both sexes,53.87,46.94,17.3,4.4,3.83,3.84,18.7
609,Kiribati,2015,Both sexes,58.2,51.62,28.5,14.5,0.52,2.59,54.2
612,Kiribati,2010,Both sexes,58.01,51.53,28.8,14.5,1.65,2.43,58.1
615,Kiribati,2000,Both sexes,55.73,49.57,29.5,13.7,1.96,2.06,67.9
618,Kuwait,2015,Both sexes,81.13,70.23,17.6,2.3,0.003,0.19,22.6
621,Kuwait,2010,Both sexes,79.83,69.21,19.3,1.9,0.032,0.22,23.6
624,Kuwait,2000,Both sexes,77.86,67.7,21.7,2.0,0.038,0.19,26.3
627,Kyrgyzstan,2015,Both sexes,71.59,63.74,26.2,8.1,7.59,0.69,28.4
630,Kyrgyzstan,2010,Both sexes,69.17,61.64,27.8,11.3,10.08,0.81,29.4
633,Kyrgyzstan,2000,Both sexes,65.95,58.66,31.4,12.6,9.45,1.5,31.7
636,Lao People's Democratic Republic,2015,Both sexes,67.08,59.29,27.1,8.5,10.05,0.92,40.9
639,Lao People's Democratic Republic,2010,Both sexes,64.88,57.43,27.9,8.9,7.1,1.13,47.0
642,Lao People's Democratic Republic,2000,Both sexes,58.41,51.77,29.2,10.1,4.66,1.75,61.1
645,Latvia,2015,Both sexes,74.8,65.76,22.2,21.6,12.64,0.85,37.3
648,Latvia,2010,Both sexes,72.94,64.26,25.8,22.7,11.63,1.19,38.4
651,Latvia,2000,Both sexes,70.18,61.57,27.9,34.7,8.76,2.93,40.5
654,Lebanon,2015,Both sexes,75.98,65.67,17.9,3.3,1.65,0.3,42.6
657,Lebanon,2010,Both sexes,75.53,65.4,18.1,3.2,1.94,0.33,42.9
660,Lebanon,2000,Both sexes,74.61,64.66,21.2,3.0,2.96,0.6,44.1
663,Lesotho,2015,Both sexes,47.67,41.64,26.6,21.0,4.8,3.16,28.0
666,Lesotho,2010,Both sexes,47.38,41.46,27.0,20.1,6.5,3.17,26.0
669,Lesotho,2000,Both sexes,47.82,41.98,26.6,18.0,7.31,2.73,23.5
672,Liberia,2015,Both sexes,61.17,52.47,17.2,6.5,5.7,1.81,9.1
675,Liberia,2010,Both sexes,60.7,52.05,18.0,6.5,5.37,2.21,10.4
678,Liberia,2000,Both sexes,53.77,45.82,18.1,5.7,6.38,2.38,14.2
681,Lithuania,2015,Both sexes,74.38,65.28,22.2,34.9,15.38,0.77,28.5
684,Lithuania,2010,Both sexes,73.14,64.25,23.6,37.3,15.25,0.97,30.8
687,Lithuania,2000,Both sexes,72.04,63.12,24.2,50.7,13.36,2.11,36.3
690,Luxembourg,2015,Both sexes,82.31,71.53,9.6,14.7,13.18,0.1,22.9
693,Luxembourg,2010,Both sexes,80.94,70.48,11.5,12.9,12.98,0.14,24.9
696,Luxembourg,2000,Both sexes,78.24,68.34,15.0,16.8,14.32,0.24,29.5
699,Madagascar,2015,Both sexes,64.19,56.3,23.1,4.0,1.88,3.33,30.7
702,Madagascar,2010,Both sexes,62.79,55.08,24.5,4.3,1.87,4.4,34.0
705,Madagascar,2000,Both sexes,58.82,51.32,27.2,4.7,2.11,5.44,44.0
708,Malawi,2015,Both sexes,63.04,54.89,16.3,3.6,3.62,2.08,14.3
711,Malawi,2010,Both sexes,56.8,49.59,17.5,3.8,3.21,2.22,17.4
714,Malawi,2000,Both sexes,44.73,39.07,21.0,6.2,2.42,3.87,25.8
717,Malaysia,2015,Both sexes,74.95,65.78,17.3,5.4,0.85,0.49,22.8
720,Malaysia,2010,Both sexes,74.25,65.38,18.2,5.1,1.32,0.52,24.5
723,Malaysia,2000,Both sexes,72.8,63.99,20.3,5.3,1.53,0.72,28.9
726,Mali,2015,Both sexes,60.89,52.98,24.8,4.8,1.25,3.34,12.1
729,Mali,2010,Both sexes,59.05,51.34,25.0,4.8,1.09,3.9,12.3
732,Mali,2000,Both sexes,52.64,45.61,27.5,5.5,1.15,4.1,13.0
735,Malta,2015,Both sexes,81.65,71.32,10.8,8.0,7.56,0.12,26.4
738,Malta,2010,Both sexes,80.45,70.41,11.2,8.0,6.58,0.14,28.6
741,Malta,2000,Both sexes,77.87,68.53,15.5,6.5,5.72,0.18,33.9
744,Mauritius,2015,Both sexes,74.14,64.03,22.8,8.5,3.94,0.11,28.0
747,Mauritius,2010,Both sexes,73.24,63.37,24.1,8.1,3.81,0.1,30.1
750,Mauritius,2000,Both sexes,71.17,61.94,29.7,11.1,5.49,0.2,35.9
753,Mexico,2015,Both sexes,75.87,65.76,15.9,5.6,4.92,0.45,15.2
756,Mexico,2010,Both sexes,75.13,65.13,16.3,4.6,5.21,0.48,17.7
759,Mexico,2000,Both sexes,74.41,64.55,16.8,3.6,6.43,0.71,24.1
762,Mongolia,2015,Both sexes,67.61,59.85,30.4,13.1,10.97,1.61,29.0
765,Mongolia,2010,Both sexes,65.05,57.77,32.3,16.6,9.65,2.05,31.9
768,Mongolia,2000,Both sexes,60.52,53.82,38.9,17.9,3.11,7.76,38.5
771,Morocco,2015,Both sexes,72.46,63.29,12.5,2.9,0.7,0.58,15.9
774,Morocco,2010,Both sexes,71.6,62.53,13.8,3.7,0.9,0.69,18.0
777,Morocco,2000,Both sexes,69.35,60.69,24.4,6.9,1.01,1.65,23.4
780,Mozambique,2015,Both sexes,55.95,48.6,18.4,4.9,2.19,3.03,16.0
783,Mozambique,2010,Both sexes,53.48,46.46,20.3,5.6,1.63,3.17,19.2
786,Mozambique,2000,Both sexes,50.69,43.58,27.3,8.8,2.33,4.36,27.8
789,Myanmar,2015,Both sexes,67.58,59.56,24.3,7.6,4.41,1.42,47.8
792,Myanmar,2010,Both sexes,64.79,57.2,25.1,7.3,2.9,1.6,52.5
795,Myanmar,2000,Both sexes,59.99,52.95,25.0,7.3,0.38,2.28,63.3
798,Namibia,2015,Both sexes,62.87,54.57,21.6,9.0,5.23,1.64,18.6
801,Namibia,2010,Both sexes,60.94,52.94,23.2,10.4,1.99,2.01,20.4
804,Namibia,2000,Both sexes,53.32,46.6,25.6,10.9,3.26,2.45,27.0
807,Nepal,2015,Both sexes,69.43,60.17,22.2,9.1,2.05,0.48,35.7
810,Nepal,2010,Both sexes,69.18,59.95,23.8,10.5,1.94,0.66,43.4
813,Nepal,2000,Both sexes,65.26,56.25,27.3,15.4,1.12,1.46,64.2
816,Netherlands,2015,Both sexes,81.28,71.12,11.3,12.5,9.55,0.1,24.7
819,Netherlands,2010,Both sexes,80.68,70.9,12.5,10.0,10.21,0.1,27.0
822,Netherlands,2000,Both sexes,78.01,68.77,16.2,9.8,11.08,0.14,32.2
825,New Zealand,2015,Both sexes,81.31,69.89,10.4,12.1,10.44,0.19,16.6
828,New Zealand,2010,Both sexes,80.94,69.78,11.8,13.0,11.32,0.23,20.1
831,New Zealand,2000,Both sexes,78.57,67.8,15.9,12.9,10.42,0.23,29.6
834,Niger,2015,Both sexes,61.54,54.14,20.2,4.7,0.55,4.21,8.4
837,Niger,2010,Both sexes,58.95,51.86,20.8,4.9,0.31,4.75,8.1
840,Niger,2000,Both sexes,50.35,44.18,20.1,4.6,0.23,4.88,7.9
843,Nigeria,2015,Both sexes,61.16,53.13,22.5,9.6,10.81,2.98,5.1
846,Nigeria,2010,Both sexes,59.24,51.5,22.9,10.0,11.72,3.64,5.7
849,Nigeria,2000,Both sexes,53.63,46.46,25.5,10.2,12.5,3.68,7.3
852,Norway,2015,Both sexes,82.01,71.23,9.3,12.4,7.52,0.18,21.2
855,Norway,2010,Both sexes,80.87,70.18,11.3,12.6,8.94,0.22,26.8
858,Norway,2000,Both sexes,78.53,68.43,14.2,13.3,7.95,0.23,43.0
861,Oman,2015,Both sexes,72.52,63.75,18.1,4.1,0.77,0.47,9.6
864,Oman,2010,Both sexes,70.36,62.04,20.2,3.7,0.73,0.55,9.6
867,Oman,2000,Both sexes,69.07,60.94,23.4,4.3,6.56,0.85,9.5
870,Pakistan,2015,Both sexes,64.18,55.78,24.8,2.9,0.29,2.35,22.3
873,Pakistan,2010,Both sexes,62.64,54.49,25.6,3.1,0.19,2.54,27.1
876,Pakistan,2000,Both sexes,60.08,52.35,26.7,3.4,0.085,2.79,41.5
879,Panama,2015,Both sexes,78.72,68.28,13.2,3.9,7.71,0.39,7.9
882,Panama,2010,Both sexes,77.53,67.47,13.4,5.1,6.84,0.57,10.1
885,Panama,2000,Both sexes,77.23,67.2,15.0,6.0,5.48,0.57,16.9
888,Paraguay,2015,Both sexes,75.56,65.63,17.7,9.9,7.26,0.36,14.6
891,Paraguay,2010,Both sexes,74.99,65.23,18.6,9.3,7.58,0.4,18.5
894,Paraguay,2000,Both sexes,74.8,65.0,21.2,10.1,6.38,0.86,29.8
897,Peru,2015,Both sexes,79.08,68.85,12.8,4.9,6.63,0.92,11.7
900,Peru,2010,Both sexes,77.28,67.48,13.6,4.6,7.69,1.01,16.6
903,Peru,2000,Both sexes,74.42,64.9,15.3,5.1,6.54,1.34,33.9
906,Philippines,2015,Both sexes,70.3,61.91,26.9,3.2,6.7,0.25,25.8
909,Philippines,2010,Both sexes,69.96,61.57,27.6,3.3,6.98,0.29,28.6
912,Philippines,2000,Both sexes,69.03,60.58,26.8,2.5,6.06,0.38,35.3
915,Poland,2015,Both sexes,77.29,68.03,19.3,15.8,11.63,0.26,28.1
918,Poland,2010,Both sexes,76.25,67.13,20.4,18.6,11.21,0.3,31.6
921,Poland,2000,Both sexes,73.7,65.0,24.8,16.9,9.17,0.45,40.8
924,Portugal,2015,Both sexes,80.89,70.49,11.2,13.8,11.88,0.26,27.3
